week,mode,demand_latent,demand_low_band,demand_high_band,waitlist_in,capacity_plates,plates_fulfilled,lost_demand,waitlist_out,followers_or_reach_proxy,mom_cook_hours,help_hours,throughput_pph,ch_pickup,ch_live,ch_doordash,ch_overnight,ch_local_delivery,ch_plate_club,ch_happy_hour_half,ch_rewards,rev_pickup,rev_live,rev_doordash,rev_overnight,rev_local_delivery,rev_plate_club,rev_happy_hour,rev_rewards,rev_drinks,rev_platform_monetize,revenue_total,cogs_food_pack,cogs_dd_bonus,cogs_drinks,fees_dd_commission,fees_payment,fulfill_drive,fulfill_uline_bom,opex_ads,opex_gas_permits_ins_phone,opex_hire_cash,opex_rent_utils,hh_spin_cost,club_members,SUMMARY_net_cash,SUMMARY_net_after_mom,cum_cash,lease_gate_met,notes
22,location,292.6,156.72,506.37,6.56,260.0,260,39.15,15.66,17285,28.0,16.0,13.0,89,11,59,16,34,15,15,21,1780.0,220.0,1534.0,1360.0,1088.0,150.0,150.0,105.0,199.5,50.47,6636.97,1040.0,44.25,45.6,383.5,120.81,338.3,1228.32,81.11,115.07,369.52,900.69,8.4,18.17,1961.4,1401.4,31246.84,1,Capacity bind: lost≈39 plates (waitlist spill 16); LEASE GATE MET: demand≥160 for 8wks + cash buffer≥$11700; Switched to fixed location opex/capacity
23,location,308.07,164.93,525.5,15.66,275.71,276,48.02,19.21,18150,28.5,16.86,13.14,94,12,63,16,36,17,16,22,1880.0,240.0,1638.0,1360.0,1152.0,170.0,160.0,110.0,213.5,54.09,6977.59,1104.0,47.25,48.8,409.5,126.14,358.2,1228.32,82.97,115.07,369.52,900.69,8.96,19.74,2178.18,1608.18,33425.02,1,Capacity bind: lost≈48 plates (waitlist spill 19)
24,location,322.68,172.97,542.62,19.21,291.43,291,50.46,20.19,18970,29.0,17.71,13.29,99,12,67,17,38,18,17,23,1980.0,240.0,1742.0,1445.0,1216.0,180.0,170.0,115.0,224.0,57.67,7369.67,1164.0,50.25,51.2,435.5,133.25,378.1,1305.09,84.72,115.07,369.52,900.69,9.52,21.39,2372.76,1792.76,35797.78,1,Capacity bind: lost≈50 plates (waitlist spill 20)
25,location,336.35,180.78,557.8,20.19,307.14,307,49.39,19.76,19739,29.5,18.57,13.43,103,13,71,18,40,20,18,24,2060.0,260.0,1846.0,1530.0,1280.0,200.0,180.0,120.0,238.0,61.19,7775.19,1228.0,53.25,54.4,461.5,140.2,398.0,1381.86,86.36,115.07,369.52,900.69,10.08,23.11,2576.26,1986.26,38374.04,1,Capacity bind: lost≈49 plates (waitlist spill 20)
26,location,349.0,188.33,571.14,19.76,322.86,323,45.9,18.36,20454,30.0,19.43,13.57,108,13,75,19,42,21,19,26,2160.0,260.0,1950.0,1615.0,1344.0,210.0,190.0,130.0,248.5,64.63,8172.13,1292.0,56.25,56.8,487.5,147.44,417.9,1458.63,87.88,115.07,369.52,900.69,10.64,24.91,2771.81,2171.81,41145.85,1,Capacity bind: lost≈46 plates (waitlist spill 18)
27,location,360.63,195.57,582.79,18.36,338.57,339,40.41,16.17,21113,30.5,20.29,13.71,113,14,79,19,44,23,20,27,2260.0,280.0,2054.0,1615.0,1408.0,230.0,200.0,135.0,262.5,67.98,8512.48,1356.0,59.25,60.0,513.5,152.76,437.8,1458.63,89.28,115.07,369.52,900.69,11.2,26.78,2988.79,2378.79,44134.64,1,Capacity bind: lost≈40 plates (waitlist spill 16)
28,location,371.21,202.47,592.89,16.17,354.29,354,33.09,13.24,21718,31.0,21.14,13.86,117,14,83,20,46,25,21,28,2340.0,280.0,2158.0,1700.0,1472.0,250.0,210.0,140.0,273.0,71.23,8894.23,1416.0,62.25,62.4,539.5,159.62,457.7,1535.4,90.55,115.07,369.52,900.69,11.76,28.72,3173.77,2553.77,47308.41,1,Capacity bind: lost≈33 plates (waitlist spill 13)
29,location,380.78,209.02,601.6,13.24,370.0,370,24.02,9.61,22268,31.5,22.0,14.0,121,14,87,21,48,26,23,30,2420.0,280.0,2262.0,1785.0,1536.0,260.0,230.0,150.0,283.5,74.38,9280.88,1480.0,65.25,64.8,565.5,166.61,477.6,1612.17,91.69,115.07,369.52,900.69,12.88,30.74,3359.1,2729.1,50667.51,1,Capacity bind: lost≈24 plates (waitlist spill 10)
30,location,389.38,215.19,609.07,9.61,385.71,386,13.28,5.31,22767,32.0,22.86,14.14,126,15,91,21,50,28,24,31,2520.0,300.0,2366.0,1785.0,1600.0,280.0,240.0,155.0,297.5,77.41,9620.91,1544.0,68.25,68.0,591.5,171.94,497.5,1612.17,92.73,115.07,369.52,900.69,13.44,32.83,3576.11,2936.11,54243.62,1,Capacity bind: lost≈13 plates (waitlist spill 5)
31,location,397.06,220.97,615.45,5.31,401.43,401,0.95,0.38,23217,32.5,23.71,14.29,130,15,95,22,52,30,25,32,2600.0,300.0,2470.0,1870.0,1664.0,300.0,250.0,160.0,308.0,80.33,10002.33,1604.0,71.25,70.4,617.5,178.8,517.4,1688.94,93.65,115.07,369.52,900.69,14.0,34.98,3761.12,3111.12,58004.73,1,mid-path deterministic
32,location,403.89,226.37,620.89,0.38,417.14,404,0.0,0.0,23621,33.0,24.57,14.43,129,15,96,22,53,31,26,32,2580.0,300.0,2496.0,1870.0,1696.0,310.0,260.0,160.0,311.5,83.14,10066.64,1616.0,72.0,71.2,624.0,179.69,527.35,1688.94,94.47,115.07,369.52,900.69,14.56,37.1,3793.16,3133.16,61797.89,1,mid-path deterministic
33,location,409.92,231.38,625.5,0.0,432.86,410,0.0,0.0,23982,33.5,25.43,14.57,130,15,97,22,54,33,26,33,2600.0,300.0,2522.0,1870.0,1728.0,330.0,260.0,165.0,315.0,85.86,10175.86,1640.0,72.75,72.0,630.5,181.7,537.3,1688.94,95.19,115.07,369.52,900.69,14.56,39.23,3857.64,3187.64,65655.54,1,mid-path deterministic
34,location,415.23,236.01,629.41,0.0,448.57,415,0.0,0.0,24305,34.0,26.29,14.71,130,15,99,22,54,35,27,33,2600.0,300.0,2574.0,1870.0,1728.0,350.0,270.0,165.0,318.5,88.47,10263.97,1660.0,74.25,72.8,643.5,182.54,537.3,1688.94,95.83,115.07,369.52,900.69,15.12,41.35,3908.42,3228.42,69563.95,1,mid-path deterministic
35,location,419.89,240.28,632.71,0.0,464.29,420,0.0,0.0,24594,34.5,27.14,14.86,131,15,100,22,54,37,27,34,2620.0,300.0,2600.0,1870.0,1728.0,370.0,270.0,170.0,322.0,91.0,10341.0,1680.0,75.0,73.6,650.0,183.75,537.3,1688.94,96.39,115.07,369.52,900.69,15.12,43.47,3955.63,3265.63,73519.58,1,mid-path deterministic
36,location,423.96,244.2,635.5,0.0,480.0,424,0.0,0.0,24851,35.0,28.0,15.0,131,15,101,22,55,38,28,34,2620.0,300.0,2626.0,1870.0,1760.0,380.0,280.0,170.0,325.5,93.44,10424.94,1696.0,75.75,74.4,656.5,185.14,547.25,1688.94,96.88,115.07,369.52,900.69,15.68,45.56,4003.13,3303.13,77522.71,1,mid-path deterministic
37,location,427.51,247.78,637.84,0.0,480.0,428,0.0,0.0,25081,35.0,28.0,15.0,131,15,102,22,55,40,29,34,2620.0,300.0,2652.0,1870.0,1760.0,400.0,290.0,170.0,329.0,95.81,10486.81,1712.0,76.5,75.2,663.0,185.97,547.25,1688.94,97.3,115.07,369.52,900.69,16.24,47.65,4039.13,3339.13,81561.84,1,mid-path deterministic
38,location,430.6,251.05,639.81,0.0,480.0,431,0.0,0.0,25285,35.0,28.0,15.0,131,15,103,22,55,42,29,34,2620.0,300.0,2678.0,1870.0,1760.0,420.0,290.0,170.0,332.5,98.11,10538.61,1724.0,77.25,76.0,669.5,186.56,547.25,1688.94,97.67,115.07,369.52,900.69,16.24,49.71,4069.92,3369.92,85631.75,1,mid-path deterministic
39,location,433.28,254.02,641.47,0.0,480.0,433,0.0,0.0,25468,35.0,28.0,15.0,130,14,103,21,56,44,30,35,2600.0,280.0,2678.0,1785.0,1792.0,440.0,300.0,175.0,332.5,100.35,10482.85,1732.0,77.25,76.0,669.5,185.61,557.2,1612.17,97.99,115.07,369.52,900.69,16.8,51.75,4073.05,3373.05,89704.8,1,mid-path deterministic
40,location,435.61,256.71,642.86,0.0,480.0,436,0.0,0.0,25632,35.0,28.0,15.0,130,14,104,21,56,46,30,35,2600.0,280.0,2704.0,1785.0,1792.0,460.0,300.0,175.0,336.0,102.53,10534.53,1744.0,78.0,76.8,676.0,186.2,557.2,1612.17,98.27,115.07,369.52,900.69,16.8,53.77,4103.81,3403.81,93808.61,1,mid-path deterministic
41,location,437.62,259.15,644.02,0.0,480.0,438,0.0,0.0,25780,35.0,28.0,15.0,129,14,105,21,56,47,31,35,2580.0,280.0,2730.0,1785.0,1792.0,470.0,310.0,175.0,336.0,103.12,10561.12,1752.0,78.75,76.8,682.5,186.2,557.2,1612.17,98.51,115.07,369.52,900.69,17.36,55.76,4114.35,3414.35,97922.96,1,mid-path deterministic
42,location,439.35,261.35,645.0,0.0,480.0,439,0.0,0.0,25912,35.0,28.0,15.0,129,14,104,21,56,49,31,35,2580.0,280.0,2704.0,1785.0,1792.0,490.0,310.0,175.0,339.5,103.65,10559.15,1756.0,78.0,77.6,676.0,186.79,557.2,1612.17,98.72,115.07,369.52,900.69,17.36,57.72,4114.03,3414.03,102036.99,1,mid-path deterministic
43,location,440.85,263.33,645.82,0.0,480.0,441,0.0,0.0,26032,35.0,28.0,15.0,129,14,104,21,56,51,31,35,2580.0,280.0,2704.0,1785.0,1792.0,510.0,310.0,175.0,339.5,104.13,10579.63,1764.0,78.0,77.6,676.0,187.29,557.2,1612.17,98.9,115.07,369.52,900.69,17.36,59.65,4125.83,3425.83,106162.83,1,mid-path deterministic
44,location,442.14,265.12,646.5,0.0,480.0,442,0.0,0.0,26141,35.0,28.0,15.0,129,14,104,21,56,52,31,35,2580.0,280.0,2704.0,1785.0,1792.0,520.0,310.0,175.0,339.5,104.56,10590.06,1768.0,78.0,77.6,676.0,187.54,557.2,1612.17,99.06,115.07,369.52,900.69,17.36,61.55,4131.86,3431.86,110294.68,1,mid-path deterministic
45,location,443.25,266.72,647.08,0.0,480.0,443,0.0,0.0,26240,35.0,28.0,15.0,128,14,104,21,56,54,31,35,2560.0,280.0,2704.0,1785.0,1792.0,540.0,310.0,175.0,339.5,104.96,10590.46,1772.0,78.0,77.6,676.0,187.54,557.2,1612.17,99.19,115.07,369.52,900.69,17.36,63.42,4128.13,3428.13,114422.81,1,mid-path deterministic
46,location,444.21,268.16,647.56,0.0,480.0,444,0.0,0.0,26331,35.0,28.0,15.0,128,14,104,21,55,55,31,36,2560.0,280.0,2704.0,1785.0,1760.0,550.0,310.0,180.0,343.0,105.32,10577.32,1776.0,78.0,78.4,676.0,187.2,547.25,1612.17,99.31,115.07,369.52,900.69,17.36,65.26,4120.36,3420.36,118543.17,1,mid-path deterministic
47,location,445.03,269.45,647.96,0.0,480.0,445,0.0,0.0,26415,35.0,28.0,15.0,128,14,104,21,55,57,31,35,2560.0,280.0,2704.0,1785.0,1760.0,570.0,310.0,175.0,343.0,105.66,10592.66,1780.0,78.0,78.4,676.0,187.58,547.25,1612.17,99.4,115.07,369.52,900.69,17.36,67.07,4131.22,3431.22,122674.39,1,mid-path deterministic
48,location,445.74,270.6,648.29,0.0,480.0,446,0.0,0.0,26493,35.0,28.0,15.0,128,14,103,21,55,58,31,36,2560.0,280.0,2678.0,1785.0,1760.0,580.0,310.0,180.0,343.0,105.97,10581.97,1784.0,77.25,78.4,669.5,187.95,547.25,1612.17,99.49,115.07,369.52,900.69,17.36,68.85,4123.32,3423.32,126797.72,1,mid-path deterministic
49,location,446.35,271.63,648.57,0.0,480.0,446,0.0,0.0,26565,35.0,28.0,15.0,127,14,103,20,55,60,31,36,2540.0,280.0,2678.0,1700.0,1760.0,600.0,310.0,180.0,343.0,106.26,10497.26,1784.0,77.25,78.4,669.5,185.83,547.25,1535.4,99.56,115.07,369.52,900.69,17.36,70.59,4117.44,3417.44,130915.15,1,mid-path deterministic
50,location,446.87,272.55,648.81,0.0,480.0,447,0.0,0.0,26633,35.0,28.0,15.0,127,14,103,20,55,61,31,36,2540.0,280.0,2678.0,1700.0,1760.0,610.0,310.0,180.0,343.0,106.53,10507.53,1788.0,77.25,78.4,669.5,186.08,547.25,1535.4,99.62,115.07,369.52,900.69,17.36,72.31,4123.39,3423.39,135038.55,1,mid-path deterministic
51,location,447.31,273.38,649.0,0.0,480.0,447,0.0,0.0,26697,35.0,28.0,15.0,126,14,102,20,55,63,31,36,2520.0,280.0,2652.0,1700.0,1760.0,630.0,310.0,180.0,343.0,106.79,10481.79,1788.0,76.5,78.4,663.0,186.08,547.25,1535.4,99.68,115.07,369.52,900.69,17.36,73.99,4104.85,3404.85,139143.4,1,mid-path deterministic
52,location,447.7,274.11,649.17,0.0,480.0,448,0.0,0.0,26757,35.0,28.0,15.0,126,14,102,20,55,64,31,36,2520.0,280.0,2652.0,1700.0,1760.0,640.0,310.0,180.0,346.5,107.03,10495.53,1792.0,76.5,79.2,663.0,186.41,547.25,1535.4,99.72,115.07,369.52,900.69,17.36,75.65,4113.41,3413.41,143256.8,1,mid-path deterministic
SUMMARY_month_1,mobile,38.9,,,,147.8,168.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644.15,312.6,,,Mobile-only path · SUMMARY_month_1 ≈4.33 wks from week 1. Illustrative. NOT financial advice.
SUMMARY_month_1,location_path,38.9,,,,147.8,168.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1644.15,312.6,,,Lease-when-gated path · SUMMARY_month_1. Illustrative. NOT financial advice.
SUMMARY_month_3,mobile,110.4,,,,177.5,477.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5488.85,4003.35,,,Mobile-only path · SUMMARY_month_3 ≈4.33 wks from week 9. Illustrative. NOT financial advice.
SUMMARY_month_3,location_path,110.4,,,,177.5,477.9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5488.85,4003.35,,,Lease-when-gated path · SUMMARY_month_3. Illustrative. NOT financial advice.
SUMMARY_month_6,mobile,331.4,,,,260.0,1125.8,448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12095.09,10340.18,,,Mobile-only path · SUMMARY_month_6 ≈4.33 wks from week 23. Illustrative. NOT financial advice.
SUMMARY_month_6,location_path,331.4,,,,302.3,1308.9,207.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10885.31,8344.01,,,Lease-when-gated path · SUMMARY_month_6. Illustrative. NOT financial advice.
SUMMARY_month_12,mobile,447.1,,,,260.0,1040,1008.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10745.99,8905.99,,,Mobile-only path · SUMMARY_month_12 ≈4.33 wks from week 49. Illustrative. NOT financial advice.
SUMMARY_month_12,location_path,447.1,,,,480.0,1788,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16459.09,13659.09,,,Lease-when-gated path · SUMMARY_month_12. Illustrative. NOT financial advice.
SUMMARY_cross_demand_gt_50,both,52.94,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"First week latent demand > old marketing 50-cap: week 5. 50 was flyer scarcity, not physical limit."
SUMMARY_lease_gate_week,location_path,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31246.84,1,Lease week=22 when demand≥160 for 8 wks AND cum cash≥$11700 (3 mo rent+utils). 
SUMMARY_crossover_location_beats_mobile,compare,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2988.79,,,,Week 27: location-path weekly cash net first exceeds mobile-only. NOT financial advice.
SUMMARY_saturation_K,mid,450.0,,,,260.0,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Logistic K_mid=450.0 plates/wk latent saturation; r=0.155, t0=18.0. Week-52 mobile capacity=260.0, fulfilled=260, lost=252.7. Low K=280.0 / High K=650.0 bands in weekly columns."
SUMMARY_peak_capacity_bind_mobile,mobile,447.7,,,,260.0,52,252.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peak mobile capacity bind week 52: latent=447.7, cap=260.0, lost=252.7."
